months reported,state,county ID,agency,population,violent,property,murder,rape,robbery,assault,burglary,larceny theft,motor vehicle theft,arson
12,MO,01700,CARROLL,4736,8,54,0,1,0,7,7,31,16,1
12,MO,01801,VAN BUREN,839,6,2,0,0,0,6,4,16,0,0
11,MO,01802,ELLSINORE,456,1,3,0,0,0,1,2,0,1,0
11,MO,01803,GRANDIN,24,0,0,0,0,0,0,0,0,0,0
12,MO,01800,CARTER,4762,1,55,0,5,0,5,15,3,1,1
12,MO,01901,ARCHIE,1188,1,15,0,0,0,1,8,4,3,0
12,MO,01902,BELTON,23182,84,746,1,27,13,43,119,533,94,5
12,MO,01903,DREXEL,854,4,16,0,1,1,2,4,12,0,0
12,MO,01904,HARRISONVILLE,9993,21,33,0,2,5,14,66,251,13,1
12,MO,01905,PLEASANT HILL,8234,6,13,0,0,0,6,25,72,6,1
12,MO,01906,PECULIAR,4842,3,82,0,0,0,3,12,66,4,0
12,MO,01907,RAYMORE,19878,2,352,0,4,1,15,31,36,15,0
12,MO,01908,GARDEN CITY,1626,3,22,0,0,0,3,4,17,1,0
12,MO,01909,CREIGHTON,344,0,0,0,0,0,0,0,0,0,0
11,MO,01910,LAKE WINNEBAGO,1146,0,2,0,0,0,0,0,2,0,0
12,MO,01911,CLEVELAND,656,0,7,0,0,0,0,3,4,0,0
09,MO,01912,EAST LYNNE,35,0,0,0,0,0,0,0,0,0,0
12,MO,01913,FREEMAN,486,0,0,0,0,0,0,0,0,0,0
12,MO,01916,STRASBURG,142,0,3,0,0,0,0,0,3,0,0
12,MO,04808,LEE'S SUMMIT,1969,1,37,0,0,0,1,5,3,2,0
12,MO,01900,CASS,26151,26,387,2,2,1,21,116,249,22,0
12,MO,02001,EL DORADO SPRINGS,3571,12,176,1,1,0,1,18,155,3,2
12,MO,02000,CEDAR,134,29,13,0,0,0,29,45,77,8,0
12,MO,02101,BRUNSWICK,831,5,9,0,0,0,5,3,5,1,0
12,MO,02104,SALISBURY,156,3,14,0,0,0,3,0,13,1,0
12,MO,04502,GLASGOW,35,0,0,0,0,0,0,0,0,0,0
12,MO,05803,MARCELINE,12,0,0,0,0,0,0,0,0,0,0
12,MO,02100,CHARITON,5145,43,57,0,0,0,43,15,36,6,0
12,MO,03903,SPRINGFIELD,2,0,0,0,0,0,0,0,0,0,0
12,MO,02201,BILLINGS,166,1,39,0,1,0,0,3,33,3,0
12,MO,02202,NIXA,2469,24,318,1,2,3,18,38,26,2,0
12,MO,02203,OZARK,18775,48,556,1,2,4,41,71,464,21,2
12,MO,02204,CLEVER,2454,7,8,0,0,0,7,6,2,0,0
11,MO,02205,SPARTA,1785,3,26,0,0,1,2,6,17,3,0
12,MO,02208,HIGHLANDVILLE,915,0,4,0,0,0,0,1,1,2,0
12,MO,03902,REPUBLIC,89,0,2,0,0,0,0,0,2,0,0
12,MO,02200,CHRISTIAN,3628,37,365,1,1,3,23,13,24,22,1
12,MO,02301,KAHOKA,235,1,4,0,1,0,0,0,4,0,0
12,MO,02300,CLARK,4828,3,2,0,0,0,3,12,6,2,0
12,MO,02402,CLAYCOMO,1465,4,5,1,1,0,2,8,33,9,1
